Region	Sub-table	Start Frequency	End Frequency	Service	Footnotes
US	Federal Government	4850000	4995000	FIXED	
US	Federal Government	4850000	4995000	MOBILE	
US	Federal Government	4995000	5005000	-	US1  US340
US	Federal Government	4995000	5005000	STANDARD FREQUENCY AND TIME SIGNAL (5000 kHz)	
US	Federal Government	5005000	5060000	-	US340
US	Federal Government	5005000	5060000	FIXED	US22
US	Federal Government	5060000	5450000	-	US23  US212  US340
US	Federal Government	5060000	5450000	FIXED	US22
US	Federal Government	5060000	5450000	Mobile except aeronautical mobile	
US	Federal Government	5450000	5680000	-	5.111  5.115  US283  US340
US	Federal Government	5450000	5680000	AERONAUTICAL MOBILE (R)	
US	Federal Government	5680000	5730000	-	5.111  5.115  US340
US	Federal Government	5680000	5730000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	5730000	5900000	-	US340
US	Federal Government	5730000	5900000	FIXED	
US	Federal Government	5730000	5900000	MOBILE except aeronautical mobile (R)	
US	Federal Government	5900000	6200000	-	US136  US340
US	Federal Government	5900000	6200000	BROADCASTING	5.134
US	Federal Government	6200000	6525000	-	US296  US340
US	Federal Government	6200000	6525000	MARITIME MOBILE	5.109  5.110  5.130  5.132  US82
US	Federal Government	6525000	6685000	-	US283  US340
US	Federal Government	6525000	6685000	AERONAUTICAL MOBILE (R)	
US	Federal Government	6685000	6765000	-	US340
US	Federal Government	6685000	6765000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	6765000	7000000	-	5.138  US340
US	Federal Government	6765000	7000000	FIXED	US22
US	Federal Government	6765000	7000000	MOBILE except aeronautical mobile (R)	
US	Federal Government	7000000	7200000	-	US340
US	Federal Government	7200000	7300000	-	US142  US340
US	Federal Government	7300000	7400000	-	US136  US340
US	Federal Government	7300000	7400000	BROADCASTING	5.134
US	Federal Government	7400000	7450000	-	US142  US340
US	Federal Government	7400000	7450000	FIXED	
US	Federal Government	7400000	7450000	MOBILE except aeronautical mobile (R)	
US	Federal Government	7450000	8100000	-	US340
US	Federal Government	7450000	8100000	FIXED	US22
US	Federal Government	7450000	8100000	MOBILE except aeronautical mobile (R)	
US	Federal Government	8100000	8195000	-	US340
US	Federal Government	8100000	8195000	FIXED	
US	Federal Government	8100000	8195000	MARITIME MOBILE	
US	Federal Government	8195000	8815000	-	5.111  US296  US340
US	Federal Government	8195000	8815000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Federal Government	8815000	8965000	-	US340
US	Federal Government	8815000	8965000	AERONAUTICAL MOBILE (R)	
US	Federal Government	8965000	9040000	-	US340
US	Federal Government	8965000	9040000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	9040000	9400000	-	US340
US	Federal Government	9040000	9400000	FIXED	
US	Federal Government	9400000	9900000	-	US136  US340
US	Federal Government	9400000	9900000	BROADCASTING	5.134
US	Federal Government	9900000	9995000	-	US340
US	Federal Government	9900000	9995000	FIXED	
US	Federal Government	9995000	10005000	-	5.111  US1  US340
US	Federal Government	9995000	10005000	STANDARD FREQUENCY AND TIME SIGNAL (10000 kHz)	
US	Federal Government	10005000	10100000	-	5.111  US283  US340
US	Federal Government	10005000	10100000	AERONAUTICAL MOBILE (R)	
US	Federal Government	10100000	10150000	-	US247  US340
US	Federal Government	10150000	11175000	-	US340
US	Federal Government	10150000	11175000	FIXED	
US	Federal Government	10150000	11175000	Mobile except aeronautical mobile (R)	
US	Federal Government	11175000	11275000	-	US340
US	Federal Government	11175000	11275000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	11275000	11400000	-	US283  US340
US	Federal Government	11275000	11400000	AERONAUTICAL MOBILE (R)	
US	Federal Government	11400000	11600000	-	US340
US	Federal Government	11400000	11600000	FIXED	
US	Federal Government	11600000	12100000	-	US136  US340
US	Federal Government	11600000	12100000	BROADCASTING	5.134
US	Federal Government	12100000	12230000	-	US340
US	Federal Government	12100000	12230000	FIXED	
US	Federal Government	12230000	13200000	-	US296  US340
US	Federal Government	12230000	13200000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Federal Government	13200000	13260000	-	US340
US	Federal Government	13200000	13260000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	13260000	13360000	-	US283  US340
US	Federal Government	13260000	13360000	AERONAUTICAL MOBILE (R)	
US	Federal Government	13360000	13410000	-	US342  G115
US	Federal Government	13360000	13410000	RADIO ASTRONOMY	
US	Federal Government	13410000	13570000	-	5.150  US340
US	Federal Government	13410000	13570000	FIXED	
US	Federal Government	13410000	13570000	Mobile except aeronautical mobile (R)	
US	Federal Government	13570000	13870000	-	US136  US340
US	Federal Government	13570000	13870000	BROADCASTING	5.134
US	Federal Government	13870000	14000000	-	US340
US	Federal Government	13870000	14000000	FIXED	
US	Federal Government	13870000	14000000	Mobile except aeronautical mobile (R)	
US	Federal Government	14000000	14350000	-	US340
US	Federal Government	14350000	14990000	-	US340
US	Federal Government	14350000	14990000	FIXED	
US	Federal Government	14350000	14990000	Mobile except aeronautical mobile (R)	
US	Federal Government	14990000	15010000	-	5.111  US1  US340
US	Federal Government	14990000	15010000	STANDARD FREQUENCY AND TIME SIGNAL (15000 kHz)	
US	Federal Government	15010000	15100000	-	US340
US	Federal Government	15010000	15100000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	15100000	15800000	-	US136  US340
US	Federal Government	15100000	15800000	BROADCASTING	5.134
US	Federal Government	15800000	16360000	-	US340
US	Federal Government	15800000	16360000	FIXED	
US	Federal Government	16360000	17410000	-	US296  US340
US	Federal Government	16360000	17410000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Federal Government	17410000	17480000	-	US340
US	Federal Government	17410000	17480000	FIXED	
US	Federal Government	17480000	17900000	-	US136  US340
US	Federal Government	17480000	17900000	BROADCASTING	5.134
US	Federal Government	17900000	17970000	-	US283  US340
US	Federal Government	17900000	17970000	AERONAUTICAL MOBILE (R)	
US	Federal Government	17970000	18030000	-	US340
US	Federal Government	17970000	18030000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	18030000	18068000	-	US340
US	Federal Government	18030000	18068000	FIXED	
US	Federal Government	18068000	18168000	-	US340
US	Federal Government	18168000	18780000	-	US340
US	Federal Government	18168000	18780000	FIXED	
US	Federal Government	18168000	18780000	Mobile	
US	Federal Government	18780000	18900000	-	US296  US340
US	Federal Government	18780000	18900000	MARITIME MOBILE	US82
US	Federal Government	18900000	19020000	-	US136  US340
US	Federal Government	18900000	19020000	BROADCASTING	5.134
US	Federal Government	19020000	19680000	-	US340
US	Federal Government	19020000	19680000	FIXED	
US	Federal Government	19680000	19800000	-	US340
US	Federal Government	19680000	19800000	MARITIME MOBILE	5.132
US	Federal Government	19800000	19990000	-	US340
US	Federal Government	19800000	19990000	FIXED	
US	Federal Government	19990000	20010000	-	5.111  US1  US340
US	Federal Government	19990000	20010000	STANDARD FREQUENCY AND TIME SIGNAL (20000 kHz)	
US	Federal Government	20010000	21000000	-	US340
US	Federal Government	20010000	21000000	FIXED	
US	Federal Government	20010000	21000000	Mobile	
US	Federal Government	21000000	21450000	-	US340
US	Federal Government	21450000	21850000	-	US340
US	Federal Government	21450000	21850000	BROADCASTING	
US	Federal Government	21850000	21924000	-	US340
US	Federal Government	21850000	21924000	FIXED	
US	Federal Government	21924000	22000000	-	US340
US	Federal Government	21924000	22000000	AERONAUTICAL MOBILE (R)	
US	Federal Government	22000000	22855000	-	US296  US340
US	Federal Government	22000000	22855000	MARITIME MOBILE	5.132  US82
US	Federal Government	22855000	23000000	-	US340
US	Federal Government	22855000	23000000	FIXED	
US	Federal Government	23000000	23200000	-	US340
US	Federal Government	23000000	23200000	FIXED	
US	Federal Government	23000000	23200000	Mobile except aeronautical mobile (R)	
US	Federal Government	23200000	23350000	-	US340
US	Federal Government	23200000	23350000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	23350000	24890000	-	US340
US	Federal Government	23350000	24890000	FIXED	
US	Federal Government	23350000	24890000	MOBILE except aeronautical mobile	
US	Federal Government	24890000	24990000	-	US340
US	Federal Government	24990000	25010000	-	US1  US340
US	Federal Government	24990000	25010000	STANDARD FREQUENCY AND TIME SIGNAL (25000 kHz)	
US	Federal Government	25010000	25070000	-	US340
US	Federal Government	25070000	25210000	-	US281  US296  US340
US	Federal Government	25070000	25210000	MARITIME MOBILE	US82
US	Federal Government	25210000	25330000	-	US340
US	Federal Government	25330000	25550000	-	US340
US	Federal Government	25330000	25550000	FIXED	
US	Federal Government	25330000	25550000	MOBILE except aeronautical mobile	
US	Federal Government	25550000	25670000	-	US342
US	Federal Government	25550000	25670000	RADIO ASTRONOMY	US74
US	Federal Government	25670000	26100000	-	US25  US340
US	Federal Government	25670000	26100000	BROADCASTING	
US	Federal Government	26100000	26175000	-	US25  US340
US	Federal Government	26100000	26175000	MARITIME MOBILE	5.132
US	Federal Government	26175000	26480000	-	US340
US	Federal Government	26480000	26950000	-	US340
US	Federal Government	26480000	26950000	FIXED	
US	Federal Government	26480000	26950000	MOBILE except aeronautical mobile	
US	Federal Government	26950000	27410000	-	5.150  US340
US	Federal Government	27410000	27540000	-	US340
US	Federal Government	27540000	28000000	-	US298  US340
US	Federal Government	27540000	28000000	FIXED	
US	Federal Government	27540000	28000000	MOBILE	
US	Federal Government	28000000	29890000	-	US340
US	Federal Government	29890000	29910000	-	US340
US	Federal Government	29890000	29910000	FIXED	
US	Federal Government	29890000	29910000	MOBILE	
US	Federal Government	29910000	30000000	-	US340
US	Federal Government	30000000	30560000	FIXED	
US	Federal Government	30000000	30560000	MOBILE	
US	Federal Government	30560000	32000000	-	
US	Federal Government	32000000	33000000	FIXED	
US	Federal Government	32000000	33000000	MOBILE	
US	Federal Government	33000000	34000000	-	
US	Federal Government	34000000	35000000	FIXED	
US	Federal Government	34000000	35000000	MOBILE	
US	Federal Government	35000000	36000000	-	
US	Federal Government	36000000	37000000	-	US220
US	Federal Government	36000000	37000000	FIXED	
US	Federal Government	36000000	37000000	MOBILE	
US	Federal Government	37000000	37500000	-	
US	Federal Government	37500000	38000000	-	US342
US	Federal Government	37500000	38000000	Radio astronomy	
US	Federal Government	38000000	38250000	-	US81  US342
US	Federal Government	38000000	38250000	FIXED	
US	Federal Government	38000000	38250000	MOBILE	
US	Federal Government	38000000	38250000	RADIO ASTRONOMY	
US	Federal Government	38250000	39000000	FIXED	
US	Federal Government	38250000	39000000	MOBILE	
US	Federal Government	39000000	40000000	-	
US	Federal Government	40000000	42000000	-	5.150  US210  US220
US	Federal Government	40000000	42000000	FIXED	
US	Federal Government	40000000	42000000	MOBILE	
US	Federal Government	42000000	46600000	-	
US	Federal Government	46600000	47000000	FIXED	
US	Federal Government	46600000	47000000	MOBILE	
US	Federal Government	47000000	49600000	-	
US	Federal Government	49600000	50000000	FIXED	
US	Federal Government	49600000	50000000	MOBILE	
US	Federal Government	50000000	73000000	-	
US	Federal Government	73000000	74600000	-	US246
US	Federal Government	73000000	74600000	RADIO ASTRONOMY	US74
US	Federal Government	74600000	74800000	-	US273
US	Federal Government	74600000	74800000	FIXED	
US	Federal Government	74600000	74800000	MOBILE	
US	Federal Government	74800000	75200000	-	5.18
US	Federal Government	74800000	75200000	AERONAUTICAL RADIONAVIGATION	
US	Federal Government	75200000	75400000	-	US273
US	Federal Government	75200000	75400000	FIXED	
US	Federal Government	75200000	75400000	MOBILE	
US	Federal Government	75400000	88000000	-	
US	Federal Government	88000000	108000000	-	US93
US	Federal Government	108000000	117975000	-	US93  US343
US	Federal Government	108000000	117975000	AERONAUTICAL RADIONAVIGATION	
US	Federal Government	117975000	121937500	-	5.111  5.200  US26  US28  US36
US	Federal Government	117975000	121937500	AERONAUTICAL MOBILE (R)	
US	Federal Government	121937500	123087500	-	5.198  US30  US31  US33  US80  US102  US213
US	Federal Government	123087500	123587500	-	5.198  5.200  US32  US33  US112
US	Federal Government	123087500	123587500	AERONAUTICAL MOBILE	
US	Federal Government	123587500	128812500	-	US26  US36
US	Federal Government	123587500	128812500	AERONAUTICAL MOBILE (R)	
US	Federal Government	128812500	132012500	-	5.198
US	Federal Government	132012500	136000000	-	5.198  US26
US	Federal Government	132012500	136000000	AERONAUTICAL MOBILE (R)	
US	Federal Government	136000000	137000000	-	US244
US	Federal Government	137000000	137025000	-	5.208
US	Federal Government	137000000	137025000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Federal Government	137000000	137025000	MOBILE-SATELLITE (space-to-Earth) 	US319  US320
US	Federal Government	137000000	137025000	SPACE OPERATION (space-to-Earth)	
US	Federal Government	137000000	137025000	SPACE RESEARCH (space-to-Earth)	
US	Federal Government	137025000	137175000	-	5.208
US	Federal Government	137025000	137175000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Federal Government	137025000	137175000	Mobile-satellite (space-to-Earth) 	US319  US320
US	Federal Government	137025000	137175000	SPACE OPERATION (space-to-Earth)	
US	Federal Government	137025000	137175000	SPACE RESEARCH (space-to-Earth)	
US	Federal Government	137175000	137825000	-	5.208
US	Federal Government	137175000	137825000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Federal Government	137175000	137825000	MOBILE-SATELLITE (space-to-Earth) 	US319  US320
US	Federal Government	137175000	137825000	SPACE OPERATION (space-to-Earth)	
US	Federal Government	137175000	137825000	SPACE RESEARCH (space-to-Earth)	
US	Federal Government	137825000	138000000	-	5.208
US	Federal Government	137825000	138000000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Federal Government	137825000	138000000	Mobile-satellite (space-to-Earth) 	US319  US320
US	Federal Government	137825000	138000000	SPACE OPERATION (space-to-Earth)	
US	Federal Government	137825000	138000000	SPACE RESEARCH (space-to-Earth)	
US	Federal Government	138000000	144000000	-	G30
US	Federal Government	138000000	144000000	FIXED	
US	Federal Government	138000000	144000000	MOBILE	
US	Federal Government	144000000	148000000	-	
US	Federal Government	148000000	149900000	-	5.218  5.219  G30
US	Federal Government	148000000	149900000	FIXED	
US	Federal Government	148000000	149900000	MOBILE	
US	Federal Government	148000000	149900000	MOBILE-SATELLITE (Earth-to-space) 	US319  US320  US323  US325
US	Federal Government	149900000	150050000	-	5.223
US	Federal Government	149900000	150050000	MOBILE-SATELLITE (Earth-to-space) 	US319  US320
US	Federal Government	149900000	150050000	RADIONAVIGATION-SATELLITE	
US	Federal Government	150050000	150800000	-	US73  G30
US	Federal Government	150050000	150800000	FIXED	
US	Federal Government	150050000	150800000	MOBILE	
US	Federal Government	150800000	152855000	-	US73
US	Federal Government	152855000	156247500	-	
US	Federal Government	156247500	156762500	-	US77  US106  US226  US266
US	Federal Government	156762500	156837500	-	5.226  US266
US	Federal Government	156762500	156837500	MARITIME MOBILE (distress, urgency, safety, and calling)	
US	Federal Government	156837500	157037500	-	5.226  US77  US266
US	Federal Government	157037500	157187500	-	5.226  US266  G109
US	Federal Government	157037500	157187500	MARITIME MOBILE	US214
US	Federal Government	157187500	161575000	-	
US	Federal Government	161575000	161625000	-	5.226  US77
US	Federal Government	161625000	161962500	-	US266
US	Federal Government	161962500	161987500	MARITIME MOBILE (AIS) 	US228
US	Federal Government	161987500	162012500	-	
US	Federal Government	162012500	162037500	MARITIME MOBILE (AIS) 	US228
US	Federal Government	162037500	173200000	-	US8  US11  US13  US73  US300  US312  G5
US	Federal Government	162037500	173200000	FIXED	
US	Federal Government	162037500	173200000	MOBILE	
US	Federal Government	173200000	173400000	-	
US	Federal Government	173400000	174000000	-	G5
US	Federal Government	173400000	174000000	FIXED	
US	Federal Government	173400000	174000000	MOBILE	
US	Federal Government	174000000	216000000	-	
US	Federal Government	216000000	217000000	-	US210  US241  G2
US	Federal Government	216000000	217000000	Fixed	
US	Federal Government	216000000	217000000	Land mobile	
US	Federal Government	217000000	220000000	-	US210  US241
US	Federal Government	217000000	220000000	Fixed	
US	Federal Government	217000000	220000000	Mobile	
US	Federal Government	222000000	225000000	-	
US	Federal Government	225000000	235000000	-	G27
US	Federal Government	225000000	235000000	FIXED	
US	Federal Government	225000000	235000000	MOBILE	
US	Federal Government	235000000	267000000	-	5.111  5.256  G27  G100
US	Federal Government	235000000	267000000	FIXED	
US	Federal Government	235000000	267000000	MOBILE	
US	Federal Government	267000000	322000000	-	G27  G100
US	Federal Government	267000000	322000000	FIXED	
US	Federal Government	267000000	322000000	MOBILE	
US	Federal Government	322000000	328600000	-	US342  G27
US	Federal Government	322000000	328600000	FIXED	
US	Federal Government	322000000	328600000	MOBILE	
US	Federal Government	328600000	335400000	AERONAUTICAL RADIONAVIGATION	5.258
US	Federal Government	335400000	399900000	-	G27  G100
US	Federal Government	335400000	399900000	FIXED	
US	Federal Government	335400000	399900000	MOBILE	
US	Federal Government	399900000	400050000	MOBILE-SATELLITE (Earth-to-space) 	US319  US320
US	Federal Government	399900000	400050000	RADIONAVIGATION-SATELLITE	5.26
US	Federal Government	400050000	400150000	-	5.261
US	Federal Government	400050000	400150000	STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE (400.1 MHz)	
US	Federal Government	400150000	401000000	-	5.264
US	Federal Government	400150000	401000000	METEOROLOGICAL AIDS (radiosonde) 	US70
US	Federal Government	400150000	401000000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Federal Government	400150000	401000000	MOBILE-SATELLITE (space-to-Earth) 	US319  US320  US324
US	Federal Government	400150000	401000000	Space operation (space-to-Earth)	
US	Federal Government	400150000	401000000	SPACE RESEARCH (space-to-Earth) 	5.263
US	Federal Government	401000000	402000000	-	US64  US384
US	Federal Government	401000000	402000000	EARTH EXPLORATION-SATELLITE (Earth-to-space)	
US	Federal Government	401000000	402000000	METEOROLOGICAL AIDS (radiosonde) 	US70
US	Federal Government	401000000	402000000	METEOROLOGICAL-SATELLITE (Earth-to-space)	
US	Federal Government	401000000	402000000	SPACE OPERATION (space-to-Earth)	
US	Federal Government	402000000	403000000	-	US64  US384
US	Federal Government	402000000	403000000	EARTH EXPLORATION-SATELLITE (Earth-to-space)	
US	Federal Government	402000000	403000000	METEOROLOGICAL AIDS (radiosonde) 	US70
US	Federal Government	402000000	403000000	METEOROLOGICAL-SATELLITE (Earth-to-space)	
US	Federal Government	403000000	406000000	-	US64  G6
US	Federal Government	403000000	406000000	METEOROLOGICAL AIDS (radiosonde) 	US70
US	Federal Government	406000000	406100000	-	5.266  5.267
US	Federal Government	406000000	406100000	MOBILE-SATELLITE (Earth-to-space)	
US	Federal Government	406100000	410000000	-	US13  US117  G5  G6
US	Federal Government	406100000	410000000	FIXED	
US	Federal Government	406100000	410000000	MOBILE	
US	Federal Government	406100000	410000000	RADIO ASTRONOMY	US74
US	Federal Government	410000000	420000000	-	US13  US64  G5
US	Federal Government	410000000	420000000	FIXED	
US	Federal Government	410000000	420000000	MOBILE	
US	Federal Government	410000000	420000000	SPACE RESEARCH (space-to-space) 	5.268
US	Federal Government	420000000	450000000	-	5.286  US64  US87  US230  US269  US270  US397  G8
US	Federal Government	420000000	450000000	RADIOLOCATION	G2  G129
US	Federal Government	450000000	454000000	-	5.286  US64  US87
US	Federal Government	454000000	456000000	-	US64
US	Federal Government	456000000	459000000	-	5.287  5.288  US64
US	Federal Government	459000000	460000000	-	
US	Federal Government	460000000	470000000	-	5.287  5.288  5.289  US73  US201  US209
US	Federal Government	460000000	470000000	Meteorological-satellite (space-to-Earth)	
US	Federal Government	470000000	608000000	-	
US	Federal Government	608000000	614000000	-	US246
US	Federal Government	608000000	614000000	LAND MOBILE (medical telemetry and medical telecommand)	
US	Federal Government	608000000	614000000	RADIO ASTRONOMY	US74
US	Federal Government	775000000	793000000	-	
US	Federal Government	793000000	805000000	-	
US	Federal Government	805000000	806000000	-	
US	Federal Government	854000000	890000000	-	
US	Federal Government	890000000	902000000	-	US116  US268  G2
US	Federal Government	902000000	928000000	-	5.150  US218  US267  US275  G11
US	Federal Government	902000000	928000000	RADIOLOCATION	G59
US	Federal Government	928000000	932000000	-	US116  US268  G2
US	Federal Government	932000000	935000000	-	US268  G2
US	Federal Government	932000000	935000000	FIXED	
US	Federal Government	935000000	941000000	-	US116  US268  G2
US	Federal Government	941000000	944000000	-	US268  US301  G2
US	Federal Government	941000000	944000000	FIXED	
US	Federal Government	944000000	960000000	-	
US	Federal Government	960000000	1164000000	-	US224  US400
US	Federal Government	960000000	1164000000	AERONAUTICAL RADIONAVIGATION	5.328
US	Federal Government	1164000000	1215000000	-	5.328A  US224
US	Federal Government	1164000000	1215000000	AERONAUTICAL RADIONAVIGATION	5.328
US	Federal Government	1164000000	1215000000	RADIONAVIGATION-SATELLITE (space-to-Earth)	
US	Federal Government	1215000000	1240000000	-	5.332
US	Federal Government	1215000000	1240000000	EARTH EXPLORATION-SATELLITE (active)	
US	Federal Government	1215000000	1240000000	RADIOLOCATION	G56
US	Federal Government	1215000000	1240000000	RADIONAVIGATION-SATELLITE (space-to-Earth) 	G132
