Region	Sub-table	Start Frequency	End Frequency	Service	Footnotes
US	Non-Federal-Government	2850000	3025000	-	5.111  5.115  US283  US340
US	Non-Federal-Government	2850000	3025000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	3025000	3155000	-	US340
US	Non-Federal-Government	3025000	3155000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	3155000	3230000	-	US22  US340
US	Non-Federal-Government	3155000	3230000	FIXED	
US	Non-Federal-Government	3155000	3230000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	3230000	3400000	-	US340
US	Non-Federal-Government	3230000	3400000	FIXED	
US	Non-Federal-Government	3230000	3400000	MOBILE except aeronautical mobile	
US	Non-Federal-Government	3230000	3400000	Radiolocation	
US	Non-Federal-Government	3400000	3500000	-	US283  US340
US	Non-Federal-Government	3400000	3500000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	3500000	4000000	-	US340
US	Non-Federal-Government	3500000	4000000	AMATEUR	
US	Non-Federal-Government	4000000	4063000	-	US340
US	Non-Federal-Government	4000000	4063000	FIXED	
US	Non-Federal-Government	4000000	4063000	MARITIME MOBILE	
US	Non-Federal-Government	4063000	4438000	-	US296  US340
US	Non-Federal-Government	4063000	4438000	MARITIME MOBILE	5.79A  5.109  5.110  5.130  5.131  5.132  US82
US	Non-Federal-Government	4438000	4650000	-	US22  US340
US	Non-Federal-Government	4438000	4650000	FIXED	
US	Non-Federal-Government	4438000	4650000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	4650000	4700000	-	US282  US283  US340
US	Non-Federal-Government	4650000	4700000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	4700000	4750000	-	US340
US	Non-Federal-Government	4700000	4750000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	4750000	4850000	-	US340
US	Non-Federal-Government	4750000	4850000	FIXED	
US	Non-Federal-Government	4750000	4850000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	4850000	4995000	-	US340
US	Non-Federal-Government	4850000	4995000	FIXED	
US	Non-Federal-Government	4995000	5005000	-	US1  US340
US	Non-Federal-Government	4995000	5005000	STANDARD FREQUENCY AND TIME SIGNAL (5000 kHz)	
US	Non-Federal-Government	5005000	5060000	-	US340
US	Non-Federal-Government	5005000	5060000	FIXED	US22
US	Non-Federal-Government	5060000	5450000	-	US23  US212  US340
US	Non-Federal-Government	5060000	5450000	FIXED	US22
US	Non-Federal-Government	5060000	5450000	Mobile except aeronautical mobile	
US	Non-Federal-Government	5450000	5680000	-	5.111  5.115  US283  US340
US	Non-Federal-Government	5450000	5680000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	5680000	5730000	-	5.111  5.115  US340
US	Non-Federal-Government	5680000	5730000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	5730000	5900000	-	US340
US	Non-Federal-Government	5730000	5900000	FIXED	
US	Non-Federal-Government	5730000	5900000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	5900000	6200000	-	US136  US340
US	Non-Federal-Government	5900000	6200000	BROADCASTING	5.134
US	Non-Federal-Government	6200000	6525000	-	US296  US340
US	Non-Federal-Government	6200000	6525000	MARITIME MOBILE	5.109  5.110  5.130  5.132  US82
US	Non-Federal-Government	6525000	6685000	-	US283  US340
US	Non-Federal-Government	6525000	6685000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	6685000	6765000	-	US340
US	Non-Federal-Government	6685000	6765000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	6765000	7000000	-	5.138  US340
US	Non-Federal-Government	6765000	7000000	FIXED	US22
US	Non-Federal-Government	6765000	7000000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	7000000	7100000	-	US340
US	Non-Federal-Government	7000000	7100000	AMATEUR	
US	Non-Federal-Government	7000000	7100000	AMATEUR-SATELLITE	
US	Non-Federal-Government	7100000	7200000	-	US340
US	Non-Federal-Government	7100000	7200000	AMATEUR	
US	Non-Federal-Government	7200000	7300000	-	US142  US340
US	Non-Federal-Government	7200000	7300000	AMATEUR	
US	Non-Federal-Government	7300000	7400000	-	US136  US340
US	Non-Federal-Government	7300000	7400000	BROADCASTING	5.134
US	Non-Federal-Government	7400000	7450000	-	US142  US340
US	Non-Federal-Government	7400000	7450000	FIXED	
US	Non-Federal-Government	7400000	7450000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	7450000	8100000	-	US340
US	Non-Federal-Government	7450000	8100000	FIXED	US22
US	Non-Federal-Government	7450000	8100000	MOBILE except aeronautical mobile (R)	
US	Non-Federal-Government	8100000	8195000	-	US340
US	Non-Federal-Government	8100000	8195000	FIXED	
US	Non-Federal-Government	8100000	8195000	MARITIME MOBILE	
US	Non-Federal-Government	8195000	8815000	-	5.111  US296  US340
US	Non-Federal-Government	8195000	8815000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Non-Federal-Government	8815000	8965000	-	US340
US	Non-Federal-Government	8815000	8965000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	8965000	9040000	-	US340
US	Non-Federal-Government	8965000	9040000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	9040000	9400000	-	US340
US	Non-Federal-Government	9040000	9400000	FIXED	
US	Non-Federal-Government	9400000	9900000	-	US136  US340
US	Non-Federal-Government	9400000	9900000	BROADCASTING	5.134
US	Non-Federal-Government	9900000	9995000	-	US340
US	Non-Federal-Government	9900000	9995000	FIXED	
US	Non-Federal-Government	9995000	10005000	-	5.111  US1  US340
US	Non-Federal-Government	9995000	10005000	STANDARD FREQUENCY AND TIME SIGNAL (10000 kHz)	
US	Non-Federal-Government	10005000	10100000	-	5.111  US283  US340
US	Non-Federal-Government	10005000	10100000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	10100000	10150000	-	US340
US	Non-Federal-Government	10100000	10150000	AMATEUR	US247
US	Non-Federal-Government	10150000	11175000	-	US340
US	Non-Federal-Government	10150000	11175000	FIXED	
US	Non-Federal-Government	10150000	11175000	Mobile except aeronautical mobile (R)	
US	Non-Federal-Government	11175000	11275000	-	US340
US	Non-Federal-Government	11175000	11275000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	11275000	11400000	-	US283  US340
US	Non-Federal-Government	11275000	11400000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	11400000	11600000	-	US340
US	Non-Federal-Government	11400000	11600000	FIXED	
US	Non-Federal-Government	11600000	12100000	-	US136  US340
US	Non-Federal-Government	11600000	12100000	BROADCASTING	5.134
US	Non-Federal-Government	12100000	12230000	-	US340
US	Non-Federal-Government	12100000	12230000	FIXED	
US	Non-Federal-Government	12230000	13200000	-	US296  US340
US	Non-Federal-Government	12230000	13200000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Non-Federal-Government	13200000	13260000	-	US340
US	Non-Federal-Government	13200000	13260000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	13260000	13360000	-	US283  US340
US	Non-Federal-Government	13260000	13360000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	13360000	13410000	-	US342
US	Non-Federal-Government	13360000	13410000	RADIO ASTRONOMY	
US	Non-Federal-Government	13410000	13570000	-	5.150  US340
US	Non-Federal-Government	13410000	13570000	FIXED	
US	Non-Federal-Government	13570000	13870000	-	US136  US340
US	Non-Federal-Government	13570000	13870000	BROADCASTING	5.134
US	Non-Federal-Government	13870000	14000000	-	US340
US	Non-Federal-Government	13870000	14000000	FIXED	
US	Non-Federal-Government	14000000	14250000	-	US340
US	Non-Federal-Government	14000000	14250000	AMATEUR	
US	Non-Federal-Government	14000000	14250000	AMATEUR-SATELLITE	
US	Non-Federal-Government	14250000	14350000	-	US340
US	Non-Federal-Government	14250000	14350000	AMATEUR	
US	Non-Federal-Government	14350000	14990000	-	US340
US	Non-Federal-Government	14350000	14990000	FIXED	
US	Non-Federal-Government	14990000	15010000	-	5.111  US1  US340
US	Non-Federal-Government	14990000	15010000	STANDARD FREQUENCY AND TIME SIGNAL (15000 kHz)	
US	Non-Federal-Government	15010000	15100000	-	US340
US	Non-Federal-Government	15010000	15100000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	15100000	15800000	-	US136  US340
US	Non-Federal-Government	15100000	15800000	BROADCASTING	5.134
US	Non-Federal-Government	15800000	16360000	-	US340
US	Non-Federal-Government	15800000	16360000	FIXED	
US	Non-Federal-Government	16360000	17410000	-	US296  US340
US	Non-Federal-Government	16360000	17410000	MARITIME MOBILE	5.109  5.110  5.132  5.145  US82
US	Non-Federal-Government	17410000	17480000	-	US340
US	Non-Federal-Government	17410000	17480000	FIXED	
US	Non-Federal-Government	17480000	17900000	-	US136  US340
US	Non-Federal-Government	17480000	17900000	BROADCASTING	5.134
US	Non-Federal-Government	17900000	17970000	-	US283  US340
US	Non-Federal-Government	17900000	17970000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	17970000	18030000	-	US340
US	Non-Federal-Government	17970000	18030000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	18030000	18068000	-	US340
US	Non-Federal-Government	18030000	18068000	FIXED	
US	Non-Federal-Government	18068000	18168000	-	US340
US	Non-Federal-Government	18068000	18168000	AMATEUR	
US	Non-Federal-Government	18068000	18168000	AMATEUR-SATELLITE	
US	Non-Federal-Government	18168000	18780000	-	US340
US	Non-Federal-Government	18168000	18780000	FIXED	
US	Non-Federal-Government	18168000	18780000	Mobile	
US	Non-Federal-Government	18780000	18900000	-	US296  US340
US	Non-Federal-Government	18780000	18900000	MARITIME MOBILE	US82
US	Non-Federal-Government	18900000	19020000	-	US136  US340
US	Non-Federal-Government	18900000	19020000	BROADCASTING	5.134
US	Non-Federal-Government	19020000	19680000	-	US340
US	Non-Federal-Government	19020000	19680000	FIXED	
US	Non-Federal-Government	19680000	19800000	-	US340
US	Non-Federal-Government	19680000	19800000	MARITIME MOBILE	5.132
US	Non-Federal-Government	19800000	19990000	-	US340
US	Non-Federal-Government	19800000	19990000	FIXED	
US	Non-Federal-Government	19990000	20010000	-	5.111  US1  US340
US	Non-Federal-Government	19990000	20010000	STANDARD FREQUENCY AND TIME SIGNAL (20000 kHz)	
US	Non-Federal-Government	20010000	21000000	-	US340
US	Non-Federal-Government	20010000	21000000	FIXED	
US	Non-Federal-Government	21000000	21450000	-	US340
US	Non-Federal-Government	21000000	21450000	AMATEUR	
US	Non-Federal-Government	21000000	21450000	AMATEUR-SATELLITE	
US	Non-Federal-Government	21450000	21850000	-	US340
US	Non-Federal-Government	21450000	21850000	BROADCASTING	
US	Non-Federal-Government	21850000	21924000	-	US340
US	Non-Federal-Government	21850000	21924000	FIXED	
US	Non-Federal-Government	21924000	22000000	-	US340
US	Non-Federal-Government	21924000	22000000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	22000000	22855000	-	US296  US340
US	Non-Federal-Government	22000000	22855000	MARITIME MOBILE	5.132  US82
US	Non-Federal-Government	22855000	23000000	-	US340
US	Non-Federal-Government	22855000	23000000	FIXED	
US	Non-Federal-Government	23000000	23200000	-	US340
US	Non-Federal-Government	23000000	23200000	FIXED	
US	Non-Federal-Government	23200000	23350000	-	US340
US	Non-Federal-Government	23200000	23350000	AERONAUTICAL MOBILE (OR)	
US	Non-Federal-Government	23350000	24890000	-	US340
US	Non-Federal-Government	23350000	24890000	FIXED	
US	Non-Federal-Government	24890000	24990000	-	US340
US	Non-Federal-Government	24890000	24990000	AMATEUR	
US	Non-Federal-Government	24890000	24990000	AMATEUR-SATELLITE	
US	Non-Federal-Government	24990000	25010000	-	US1  US340
US	Non-Federal-Government	24990000	25010000	STANDARD FREQUENCY AND TIME SIGNAL (25000 kHz)	
US	Non-Federal-Government	25010000	25070000	-	US340  NG112
US	Non-Federal-Government	25010000	25070000	LAND MOBILE	
US	Non-Federal-Government	25070000	25210000	-	US281  US296  US340  NG112
US	Non-Federal-Government	25070000	25210000	MARITIME MOBILE	US82
US	Non-Federal-Government	25210000	25330000	-	US340
US	Non-Federal-Government	25210000	25330000	LAND MOBILE	
US	Non-Federal-Government	25330000	25550000	-	US340
US	Non-Federal-Government	25550000	25670000	-	US342
US	Non-Federal-Government	25550000	25670000	RADIO ASTRONOMY	US74
US	Non-Federal-Government	25670000	26100000	-	US25  US340
US	Non-Federal-Government	25670000	26100000	BROADCASTING	
US	Non-Federal-Government	26100000	26175000	-	US25  US340
US	Non-Federal-Government	26100000	26175000	MARITIME MOBILE	5.132
US	Non-Federal-Government	26175000	26480000	-	US340
US	Non-Federal-Government	26175000	26480000	LAND MOBILE	
US	Non-Federal-Government	26480000	26950000	-	US340
US	Non-Federal-Government	26950000	26960000	-	5.150  US340
US	Non-Federal-Government	26950000	26960000	FIXED	
US	Non-Federal-Government	26960000	27230000	-	5.150  US340
US	Non-Federal-Government	26960000	27230000	MOBILE except aeronautical mobile	
US	Non-Federal-Government	27230000	27410000	-	5.150  US340
US	Non-Federal-Government	27230000	27410000	FIXED	
US	Non-Federal-Government	27230000	27410000	MOBILE except aeronautical mobile	
US	Non-Federal-Government	27410000	27540000	-	US340
US	Non-Federal-Government	27410000	27540000	FIXED	
US	Non-Federal-Government	27410000	27540000	LAND MOBILE	
US	Non-Federal-Government	27540000	28000000	-	US298  US340
US	Non-Federal-Government	28000000	29700000	-	US340
US	Non-Federal-Government	28000000	29700000	AMATEUR	
US	Non-Federal-Government	28000000	29700000	AMATEUR-SATELLITE	
US	Non-Federal-Government	29700000	29800000	-	US340
US	Non-Federal-Government	29700000	29800000	LAND MOBILE	
US	Non-Federal-Government	29800000	29890000	-	US340
US	Non-Federal-Government	29800000	29890000	FIXED	
US	Non-Federal-Government	29890000	29910000	-	US340
US	Non-Federal-Government	29910000	30000000	-	US340
US	Non-Federal-Government	29910000	30000000	FIXED	
US	Non-Federal-Government	30000000	30560000	-	
US	Non-Federal-Government	30560000	32000000	-	NG124
US	Non-Federal-Government	30560000	32000000	FIXED	
US	Non-Federal-Government	30560000	32000000	LAND MOBILE	
US	Non-Federal-Government	32000000	33000000	-	
US	Non-Federal-Government	33000000	34000000	-	NG124
US	Non-Federal-Government	33000000	34000000	FIXED	
US	Non-Federal-Government	33000000	34000000	LAND MOBILE	
US	Non-Federal-Government	34000000	35000000	-	
US	Non-Federal-Government	35000000	36000000	FIXED	
US	Non-Federal-Government	35000000	36000000	LAND MOBILE	
US	Non-Federal-Government	36000000	37000000	-	US220
US	Non-Federal-Government	37000000	37500000	-	NG124
US	Non-Federal-Government	37000000	37500000	LAND MOBILE	
US	Non-Federal-Government	37500000	38000000	-	US342  NG59  NG124
US	Non-Federal-Government	37500000	38000000	LAND MOBILE	
US	Non-Federal-Government	37500000	38000000	Radio astronomy	
US	Non-Federal-Government	38000000	38250000	-	US81  US342
US	Non-Federal-Government	38000000	38250000	RADIO ASTRONOMY	
US	Non-Federal-Government	38250000	39000000	-	
US	Non-Federal-Government	39000000	40000000	-	NG124
US	Non-Federal-Government	39000000	40000000	LAND MOBILE	
US	Non-Federal-Government	40000000	42000000	-	5.150  US210  US220
US	Non-Federal-Government	42000000	43690000	-	NG124  NG141
US	Non-Federal-Government	42000000	43690000	FIXED	
US	Non-Federal-Government	42000000	43690000	LAND MOBILE	
US	Non-Federal-Government	43690000	46600000	-	NG124  NG141
US	Non-Federal-Government	43690000	46600000	LAND MOBILE	
US	Non-Federal-Government	46600000	47000000	-	
US	Non-Federal-Government	47000000	49600000	-	NG124
US	Non-Federal-Government	47000000	49600000	LAND MOBILE	
US	Non-Federal-Government	49600000	50000000	-	
US	Non-Federal-Government	50000000	54000000	AMATEUR	
US	Non-Federal-Government	54000000	72000000	-	NG5  NG14  NG115  NG149
US	Non-Federal-Government	54000000	72000000	BROADCASTING	
US	Non-Federal-Government	72000000	73000000	-	NG3  NG49  NG56
US	Non-Federal-Government	72000000	73000000	FIXED	
US	Non-Federal-Government	72000000	73000000	MOBILE	
US	Non-Federal-Government	73000000	74600000	-	US246
US	Non-Federal-Government	73000000	74600000	RADIO ASTRONOMY	US74
US	Non-Federal-Government	74600000	74800000	-	US273
US	Non-Federal-Government	74600000	74800000	FIXED	
US	Non-Federal-Government	74600000	74800000	MOBILE	
US	Non-Federal-Government	74800000	75200000	-	5.18
US	Non-Federal-Government	74800000	75200000	AERONAUTICAL RADIONAVIGATION	
US	Non-Federal-Government	75200000	75400000	-	US273
US	Non-Federal-Government	75200000	75400000	FIXED	
US	Non-Federal-Government	75200000	75400000	MOBILE	
US	Non-Federal-Government	75400000	76000000	-	NG3  NG49  NG56
US	Non-Federal-Government	75400000	76000000	FIXED	
US	Non-Federal-Government	75400000	76000000	MOBILE	
US	Non-Federal-Government	76000000	88000000	-	NG5  NG14  NG115  NG149
US	Non-Federal-Government	76000000	88000000	BROADCASTING	
US	Non-Federal-Government	88000000	108000000	-	US93  NG5
US	Non-Federal-Government	88000000	108000000	BROADCASTING	NG2
US	Non-Federal-Government	108000000	117975000	-	US93  US343
US	Non-Federal-Government	108000000	117975000	AERONAUTICAL RADIONAVIGATION	
US	Non-Federal-Government	117975000	121937500	-	5.111  5.200  US26  US28  US36
US	Non-Federal-Government	117975000	121937500	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	121937500	123087500	-	5.198  US30  US31  US33  US80  US102  US213
US	Non-Federal-Government	121937500	123087500	AERONAUTICAL MOBILE	
US	Non-Federal-Government	123087500	123587500	-	5.198  5.200  US32  US33  US112
US	Non-Federal-Government	123087500	123587500	AERONAUTICAL MOBILE	
US	Non-Federal-Government	123587500	128812500	-	US26  US36
US	Non-Federal-Government	123587500	128812500	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	128812500	132012500	-	5.198
US	Non-Federal-Government	128812500	132012500	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	132012500	136000000	-	5.198  US26
US	Non-Federal-Government	132012500	136000000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	136000000	137000000	-	US244
US	Non-Federal-Government	136000000	137000000	AERONAUTICAL MOBILE (R)	
US	Non-Federal-Government	137000000	137025000	-	5.208
US	Non-Federal-Government	137000000	137025000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Non-Federal-Government	137000000	137025000	MOBILE-SATELLITE (space-to-Earth) 	US319  US320
US	Non-Federal-Government	137000000	137025000	SPACE OPERATION (space-to-Earth)	
US	Non-Federal-Government	137000000	137025000	SPACE RESEARCH (space-to-Earth)	
US	Non-Federal-Government	137025000	137175000	-	5.208
US	Non-Federal-Government	137025000	137175000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Non-Federal-Government	137025000	137175000	Mobile-satellite (space-to-Earth) 	US319  US320
US	Non-Federal-Government	137025000	137175000	SPACE OPERATION (space-to-Earth)	
US	Non-Federal-Government	137025000	137175000	SPACE RESEARCH (space-to-Earth)	
US	Non-Federal-Government	137175000	137825000	-	5.208
US	Non-Federal-Government	137175000	137825000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Non-Federal-Government	137175000	137825000	MOBILE-SATELLITE (space-to-Earth) 	US319  US320
US	Non-Federal-Government	137175000	137825000	SPACE OPERATION (space-to-Earth)	
US	Non-Federal-Government	137175000	137825000	SPACE RESEARCH (space-to-Earth)	
US	Non-Federal-Government	137825000	138000000	-	5.208
US	Non-Federal-Government	137825000	138000000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
US	Non-Federal-Government	137825000	138000000	Mobile-satellite (space-to-Earth) 	US319  US320
US	Non-Federal-Government	137825000	138000000	SPACE OPERATION (space-to-Earth)	
US	Non-Federal-Government	137825000	138000000	SPACE RESEARCH (space-to-Earth)	
US	Non-Federal-Government	138000000	144000000	-	
US	Non-Federal-Government	144000000	146000000	AMATEUR	
US	Non-Federal-Government	144000000	146000000	AMATEUR-SATELLITE	
US	Non-Federal-Government	146000000	148000000	AMATEUR	
US	Non-Federal-Government	148000000	149900000	-	5.218  5.219  US319
US	Non-Federal-Government	148000000	149900000	MOBILE-SATELLITE (Earth-to-space) 	US320  US323  US325
US	Non-Federal-Government	149900000	150050000	-	5.223
US	Non-Federal-Government	149900000	150050000	MOBILE-SATELLITE (Earth-to-space) 	US319  US320
US	Non-Federal-Government	149900000	150050000	RADIONAVIGATION-SATELLITE	
US	Non-Federal-Government	150050000	150800000	-	US73
US	Non-Federal-Government	150800000	152855000	-	US73  NG124
US	Non-Federal-Government	150800000	152855000	FIXED	
US	Non-Federal-Government	150800000	152855000	LAND MOBILE	NG4  NG51  NG112
US	Non-Federal-Government	152855000	154000000	-	NG124
US	Non-Federal-Government	152855000	154000000	LAND MOBILE	NG4
US	Non-Federal-Government	154000000	156247500	-	5.226  NG117  NG124  NG148
US	Non-Federal-Government	154000000	156247500	FIXED	
US	Non-Federal-Government	154000000	156247500	LAND MOBILE	NG112
US	Non-Federal-Government	156247500	156762500	-	US77  US266  NG124
US	Non-Federal-Government	156247500	156762500	MARITIME MOBILE	US106  US226  NG117
US	Non-Federal-Government	156762500	156837500	-	5.226  US266
US	Non-Federal-Government	156762500	156837500	Auction 20 (VHF Public Coast), $7,459,200	
US	Non-Federal-Government	156762500	156837500	Auction 39 (VHF Public Coast and Location and Monitoring Services), $1,144,755	
US	Non-Federal-Government	156762500	156837500	MARITIME MOBILE (distress, urgency, safety, and calling)	
US	Non-Federal-Government	156762500	156837500	Relevant FCC Auctions:	
US	Non-Federal-Government	156762500	156837500	Total net auction bids: $8,603,955	
US	Non-Federal-Government	156837500	157037500	-	5.226  US77  US266
US	Non-Federal-Government	156837500	157037500	Auction 20 (VHF Public Coast), $7,459,200	
US	Non-Federal-Government	156837500	157037500	Auction 39 (VHF Public Coast and Location and Monitoring Services), $1,144,755	
US	Non-Federal-Government	156837500	157037500	MARITIME MOBILE	
US	Non-Federal-Government	156837500	157037500	Relevant FCC Auctions:	
US	Non-Federal-Government	156837500	157037500	Total net auction bids: $8,603,955	
